SAPT_Induction,MD_Induction,DimerID
-2.509500000000000012e-04,-2.548911872722119348e-04,1.990000000000000000e+02
-2.625563720000000156e+00,-9.732344289898020584e-01,2.000000000000000000e+00
-1.046489999999999964e-03,-1.004390319056790073e-03,2.000000000000000000e+02
-3.382899999999999883e-04,-2.934734336658176529e-04,2.030000000000000000e+02
-5.302399999999999648e-04,-4.502549879950707139e-04,2.060000000000000000e+02
-2.605199999999999790e-04,-2.391434751620532422e-04,2.080000000000000000e+02
-4.452699999999999974e-04,-3.683494098365126205e-04,2.090000000000000000e+02
-4.943200000000000241e-04,-5.175872109422712626e-04,2.100000000000000000e+02
-5.129899999999999521e-04,-4.189024326648335076e-04,2.110000000000000000e+02
-4.444800000000000270e-04,-3.776063507645676222e-04,2.130000000000000000e+02
-3.354100000000000159e-04,-2.474799616699586112e-04,2.140000000000000000e+02
-1.767300000000000077e-03,-1.685482241671715491e-03,2.150000000000000000e+02
-3.338269999999999953e-03,-3.231499928469207857e-03,2.160000000000000000e+02
-3.940799999999999945e-04,-3.184260025040165968e-04,2.170000000000000000e+02
-3.766299999999999770e-04,-3.993041078087740717e-04,2.180000000000000000e+02
-1.716337000000000071e-02,-1.439333058502560193e-02,2.200000000000000000e+01
-5.374699999999999617e-04,-4.425701240241758437e-04,2.210000000000000000e+02
-1.848099999999999873e-04,-1.765544952035352864e-04,2.230000000000000000e+02
-3.798499999999999902e-04,-3.580586301440928502e-04,2.240000000000000000e+02
-2.676399999999999786e-04,-2.417188170062101410e-04,2.260000000000000000e+02
-2.367100000000000020e-03,-2.273997620574968407e-03,2.280000000000000000e+02
-3.802999999999999740e-04,-3.050704138134696067e-04,2.290000000000000000e+02
-1.695129000000000080e-02,-1.235605539163731753e-02,2.300000000000000000e+01
-4.767500000000000145e-04,-4.035167950220991829e-04,2.310000000000000000e+02
-3.442200000000000077e-04,-2.985607194025752861e-04,2.320000000000000000e+02
-1.828300000000000097e-04,-1.467527206251202252e-04,2.330000000000000000e+02
-1.193730000000000051e-03,-1.182978441624755973e-03,2.340000000000000000e+02
-2.460900000000000240e-04,-2.315849978541824317e-04,2.360000000000000000e+02
-2.548699999999999772e-04,-2.525905948989071734e-04,2.370000000000000000e+02
-1.468448800000000110e-01,-1.218953919583783407e-01,2.400000000000000000e+01
-3.390499999999999742e-04,-2.592060711507491360e-04,2.410000000000000000e+02
-7.436300000000000071e-04,-8.124064734653779069e-04,2.420000000000000000e+02
-2.579999999999999828e-04,-2.045725190230904083e-04,2.430000000000000000e+02
-3.457199999999999900e-04,-3.215557373692081800e-04,2.440000000000000000e+02
-2.470700000000000045e-04,-2.090873944551640065e-04,2.450000000000000000e+02
-5.493699999999999799e-04,-4.981365117360469184e-04,2.490000000000000000e+02
-4.971156999999999659e-02,-3.873051494121793059e-02,2.500000000000000000e+01
-1.833399999999999895e-04,-1.832542913046316117e-04,2.500000000000000000e+02
-4.799299999999999942e-04,-3.888149208780894081e-04,2.510000000000000000e+02
-3.173599999999999837e-04,-2.645407326789592358e-04,2.520000000000000000e+02
-5.178999999999999576e-04,-4.364535956991739117e-04,2.530000000000000000e+02
-1.848200000000000092e-04,-1.616163325343847725e-04,2.540000000000000000e+02
-1.533799999999999985e-04,-1.394719383602478280e-04,2.550000000000000000e+02
-2.486499999999999995e-04,-2.463945357485051698e-04,2.560000000000000000e+02
-3.360600000000000045e-04,-2.919252918814974410e-04,2.590000000000000000e+02
-5.983299999999999990e-04,-4.955145084552676485e-04,2.610000000000000000e+02
-3.200999999999999744e-04,-3.390724791859776226e-04,2.620000000000000000e+02
-1.528899999999999921e-03,-1.367145706907075360e-03,2.640000000000000000e+02
-4.680600000000000147e-04,-4.455314324428863914e-04,2.650000000000000000e+02
-3.908399999999999917e-04,-3.339568131271070410e-04,2.670000000000000000e+02
-1.398306000000000028e-02,-1.196118772554170991e-02,2.700000000000000000e+01
-1.668100000000000106e-04,-1.794800529045661812e-04,2.710000000000000000e+02
-1.490399999999999961e-04,-1.507793772453998229e-04,2.720000000000000000e+02
-3.661800000000000211e-04,-3.660401143806570035e-04,2.730000000000000000e+02
-2.127800000000000058e-04,-2.228801945564034930e-04,2.750000000000000000e+02
-1.689149999999999940e-03,-1.550006461852268275e-03,2.760000000000000000e+02
-1.511809999999999933e-03,-1.537891069739557009e-03,2.780000000000000000e+02
-1.726099999999999889e-04,-1.437802984220611872e-04,2.790000000000000000e+02
-1.283411999999999921e-02,-1.138090996178093076e-02,2.800000000000000000e+01
-1.856899999999999924e-04,-1.360979106555251176e-04,2.800000000000000000e+02
-3.454099999999999879e-04,-3.302163960446320777e-04,2.810000000000000000e+02
-3.425599999999999999e-04,-2.985341169253104016e-04,2.820000000000000000e+02
-1.221399999999999927e-04,-1.062841012504901165e-04,2.830000000000000000e+02
-2.306400000000000008e-04,-2.353214743853173567e-04,2.840000000000000000e+02
-3.423699999999999899e-04,-3.010769044973938147e-04,2.850000000000000000e+02
-5.077900000000000426e-04,-4.762613029259865540e-04,2.860000000000000000e+02
-3.497800000000000019e-04,-2.898756378225858564e-04,2.870000000000000000e+02
-1.519000000000000059e-04,-1.242834952592491548e-04,2.880000000000000000e+02
-1.327734000000000032e-02,-1.094779425334710919e-02,2.900000000000000000e+01
-3.369600000000000264e-04,-2.719393975728757844e-04,2.900000000000000000e+02
-2.127499999999999942e-04,-2.254915305236411310e-04,2.920000000000000000e+02
-3.781799999999999875e-04,-3.631226460448392724e-04,2.930000000000000000e+02
-4.349700000000000181e-04,-3.789465253277760851e-04,2.950000000000000000e+02
-1.583400000000000053e-04,-1.162154211928651155e-04,2.960000000000000000e+02
-1.707900000000000097e-04,-1.669828407525173104e-04,2.980000000000000000e+02
-1.325104779999999982e+00,-4.266424430866629924e-01,3.000000000000000000e+00
-1.254601999999999974e-02,-9.813973681278440053e-03,3.000000000000000000e+01
-1.983999999999999978e-04,-1.624163687198348547e-04,3.050000000000000000e+02
